ID Produto;Nome;Referência;Qtd Inicial;Qtd Atual;Variação Qtd;Valor Inicial;Valor Atual;Variação Valor;Total Movimentações;Data Cálculo
3214;ENGRENAGEM 35Z/28Z;AB017356;1.000;1.000;0.000;10.00;10.00;0.00;0;01/03/2025
3218;ROLO DE PRESSAO 1502 MARCA RICOH.;AE020100;26.000;26.000;0.000;2770.19;2770.19;0.00;0;01/03/2025
3221;CAME DA LAMINA DE LIMPEZA-1502;B0392288;6.000;6.000;0.000;16.19;16.19;0.00;0;01/03/2025
3222;CONJ.INFERIOR UNID.DE REVELACAO-1502.;B0393170;79.000;79.000;0.000;15167.32;15167.32;0.00;0;01/03/2025
3225;CHAPA FRONTAL 5303;C2174593;1.000;1.000;0.000;9.68;9.68;0.00;0;01/03/2025
3228;SENSOR DE SAIDA 5535/2727;AW020074;1.000;1.000;0.000;12.97;12.97;0.00;0;01/03/2025
3233;BUCHA;AE031028;1.000;1.000;0.000;3.70;3.70;0.00;0;01/03/2025
3240;SELO FRONTAL DO CILINDRO;AA152226;2.000;2.000;0.000;9.22;9.22;0.00;0;01/03/2025
3241;SELO TRASEIRO DO CILINDRO;AA152227;2.000;2.000;0.000;9.14;9.14;0.00;0;01/03/2025
3243;LAMINA DE LIMPEZA DSM615;AD042059;4.000;4.000;0.000;217.58;217.58;0.00;0;01/03/2025
3252;BANDEIJA DO BY PASS;A1902701;2.000;2.000;0.000;64.18;64.18;0.00;0;01/03/2025
3256;ENGRENAGEM 14Z DA UNID.DO CILINDRO-1502.;AB011402;4.000;4.000;0.000;23.67;23.67;0.00;0;01/03/2025
3260;ENGRENAGEM DO ROLO MAGNETICO-1502.;B0393060;60.000;60.000;0.000;653.43;653.43;0.00;0;01/03/2025
3261;ENGRENAGEM LIVRE-1502.;B0393062;112.000;112.000;0.000;1126.16;1126.16;0.00;0;01/03/2025
