codigo;referencia;nome;grupo;estoque_31_12_2024;estoque_atual;diferenca_quantidade;preco_custo;valor_total_31_12_2024;valor_total_atual;diferenca_valor;movimentacoes_revertidas;saldos_redefinidos
4530;405689;CARTUCHO DE TINTA P/IMP CYAN GXE3300N;SUPRIMENTOS;2,0;2,0;0,0;115,07;230,14;230,14;0,0;0;0
4531;AW010049;SENSOR.;PEÇAS;3,0;3,0;0,0;30,11;90,33;90,33;0,0;0;0
4533;AD043078;ESPIRAL DE TRANSPORTE DO TONER-6002;PEÇAS;0,0;0,0;0,0;33,91;0,0;0,0;0,0;0;0
4534;AE030018;ROLAMENTO 12X28-6001Z KOYO 2760/3265/6002;PEÇAS;2,0;2,0;0,0;15,27;30,54;30,54;0,0;0;0
4535;D1055104;PLACA BCU MPC2051;PEÇAS;2,0;2,0;0,0;825,41;1650,82;1650,82;0,0;0;0
4536;D8093047;UNIDADE DE ALIMENTACAO DE TONER MPC2051;PEÇAS;1,0;1,0;0,0;197,41;197,41;197,41;0,0;0;0
4537;D0395178;PLACA RFID MPC2050;PEÇAS;0,0;0,0;0,0;280,0;0,0;0,0;0,0;0;0
4538;405690R;CARTUCHO DE TINTA DE IMPRESSAO MAGENTA GXE3300N;SUPRIMENTOS;1,0;1,0;0,0;112,25;112,25;112,25;0,0;0;0
4539;405691R;CARTUCHO DE TINTA DE IMPRESSAO AMARELA GXE3300N;SUPRIMENTOS;2,0;2,0;0,0;121,7;243,4;243,4;0,0;0;0
4540;C2792310;CONJUNTO DO CLAMPER CP6244;PEÇAS;0,0;0,0;0,0;421,73;0,0;0,0;0,0;0;0
4541;C2722381;TELA DE TETRON A3-CP6244/DX4545;PEÇAS;0,0;0,0;0,0;224,91;0,0;0,0;0,0;0;0
4542;70035305;KIT DO CILINDRO OPC/RC AF 1515/PERFORMANCE;SUPRIMENTOS;0,0;0,0;0,0;162,97;0,0;0,0;0,0;0;0
4544;W3018604661;SIST.MULTIFUNCIONAL MP201-MENEZES;MAQUINAS USADAS;1,0;1,0;0,0;4702,48;4702,48;4702,48;0,0;0;0
4545;C2612786;ALAVANCA DE AVANCO DE PAPEL DX 2330;PEÇAS;0,0;0,0;0,0;92,9;0,0;0,0;0,0;0;0
4546;C2382878;MOLA DO CALCO DE SEPARACAO 6244;PEÇAS;1,0;1,0;0,0;34,52;34,52;34,52;0,0;0;0
4547;C2642407;UNHA DE SEPARACAO DX4545;PEÇAS;1,0;1,0;0,0;106,13;106,13;106,13;0,0;0;0
4549;AB012076;ENGRENAGEM MPC305.;PEÇAS;2,0;2,0;0,0;22,55;45,1;45,1;0,0;0;0
4550;AB012077;ENGRENAGEM MPC305.;PEÇAS;2,0;2,0;0,0;95,63;191,26;191,26;0,0;0;0
