codigo,referencia,nome,estoque_31_12_2024,estoque_atual,diferenca_quantidade,preco_custo,valor_total_31_12_2024,valor_total_atual,diferenca_valor,movimentacoes_revertidas,saldos_redefinidos
6067,80505156,LAMINA LIMPEZA KONICA MINOLTA BIZHUB C224/284/364,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0,0
6068,80210413,CORONA DE CARGA K C224,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0,0
6069,D1272801,TAMPA DA BANDEJA DE ALIMENTACAO MANUAL MP301,0.0,0.0,0.0,349.0,0.0,0.0,0.0,0,0
607,A0771168,CORREIA DENTADA 255XL,0.0,0.0,0.0,5.59,0.0,0.0,0.0,0,0
6070,00773B,UNID DE CILINDR COMPAT P/USO EM MINOLTA C364 COLOR,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0,0
6072,00772B,UNID DE CIL COMPAT P/USO EM MINOLTA C364 PRETA,0.0,0.0,0.0,569.27,0.0,0.0,0.0,0,0
6073,00795B,UNID CORONA DE CARGA COMPAT P/USO EM MINOLTA C364,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0,0
6074,00768B,UNID DE CILINDRO COMPAT P/USO EM MINOLTA C364,1.0,1.0,0.0,129.0,129.0,129.0,0.0,0,0
6075,00767B,LAMINA DE LIMPEZA COMPAT P/USO EM MINOLTA C364,1.0,1.0,0.0,26.9,26.9,26.9,0.0,0,0
6076,00711B,LAMINA DE LIMP CORREIA TRANSF COMPAT P/MINOLT C364,1.0,1.0,0.0,38.0,38.0,38.0,0.0,0,0
6077,MX1121430,XEROX WORKCENTRE 7835 USADA E RECONDICIONADA,1.0,1.0,0.0,7000.0,7000.0,7000.0,0.0,0,0
6078,70051346,CART TONER PRETO /RC SP 3710 /408284 /SELECT /7K,37.0,20.0,-17.0,58.18,2152.66,1163.6,-989.06,91,0
6079,70047967,CART TONER PRETO /RC MP C3003P /PERFORMANCE /515G,1.0,1.0,0.0,293.68,293.68,293.68,0.0,0,0
608,C2072210,CORREIA DENTADA P/5325/75,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0,0
6080,70052167,CART TONER PRETO /RC MP C305 /841621 /ACCESS/224G,0.0,0.0,0.0,145.19,0.0,0.0,0.0,0,0
6081,001798,PAPEL RECICLADO CHAMBRIL ECO 75G 66X96 CM-500FL IP,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0,0
6084,00974B,UNID DE CILINDRO COMPATIVEL RICOH MPC2503 BK/M/Y/C,0.0,0.0,0.0,783.61,0.0,0.0,0.0,0,0
6085,D1449640,REVELADOR RICOH MP C3502 PRETO ORIGINAL,0.0,0.0,0.0,349.0,0.0,0.0,0.0,0,0
6086,00959B,LÂMINA DE LIMPEZA COMPATÍVEL RICOH MP305,1.0,2.0,1.0,23.0,23.0,46.0,23.0,6,0
6087,01158B,LÂMINA DE LIMP DA CORREIA TRANS COMP RICOH MPC2004,1.0,1.0,0.0,33.99,33.99,33.99,0.0,0,0
6089,06R01517,CART TONER PRETO ORIG P/XEROX WORKCENTRE 7830 78xx,1.0,2.0,1.0,488.6,488.6,977.2,488.6,37,0
609,72107620,CORREIA DO BY-PASS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6090,A5C4011122444,KONICA MINOLTA BIZHUB C224-USADA E RECONDICIONADA,0.0,0.0,0.0,8750.0,0.0,0.0,0.0,0,0
6091,MX1058963,XEROX WORKCENTRE 7835 USADA E RECONDICIONADA,1.0,1.0,0.0,5292.4,5292.4,5292.4,0.0,0,0
6093,5851ZC11797,SISTEMA MULTIFUNCIONAL MONOCROMATICA M 320F (120V),1.0,1.0,0.0,2640.0,2640.0,2640.0,0.0,0,0
6094,5851ZB10240,SISTEMA MULTIFUNCIONAL MONOCROMATICA M 320F (120V),1.0,1.0,0.0,2640.0,2640.0,2640.0,0.0,0,0
6098,02121B,REFIL DE TONER COMPATIVEL XEROX C8030 AMARELO 1KG,1.0,1.0,0.0,494.0,494.0,494.0,0.0,0,0
6099,02119B,REFIL DE TONER COMPATIVEL XEROX C8030 CIANO 1KG,1.0,1.0,0.0,494.0,494.0,494.0,0.0,0,0
61,A11E034,ANEL DE RETENCAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
610,75722160,CORREIA DO CILINDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6100,02120B,REFIL DE TONER COMPATIVEL XEROX C8030 MAGENTA 1KG,1.0,1.0,0.0,494.0,494.0,494.0,0.0,0,0
6101,01963C,CHIP COMPATIVEL XEROX C8030 Y,1.0,1.0,0.0,22.0,22.0,22.0,0.0,0,0
6102,01964C,CHIP COMPATIVEL XEROX C8030 C,1.0,1.0,0.0,22.0,22.0,22.0,0.0,0,0
6103,01962C,CHIP COMPATIVEL XEROX C8030 M,1.0,1.0,0.0,22.0,22.0,22.0,0.0,0,0
6104,01961C,CHIP COMPATIVEL XEROX C8030 BK,4.0,4.0,0.0,22.0,88.0,88.0,0.0,0,0
6105,02213B,REFIL DE TONER COMPATIVEL KONICA C364 PRETO 1KG,0.0,0.0,0.0,379.0,0.0,0.0,0.0,0,0
6106,70051062,CART TONER PRETO CX004/ RC AF1060 /PERFORM/1210G,0.0,0.0,0.0,127.48,0.0,0.0,0.0,0,0
6108,411844,UNIDADE DE IMAGEM DSM415 TIPO 1515 RICOH.,0.0,0.0,0.0,1071.0,0.0,0.0,0.0,0,0
611,60922180,CORREIA DO CILINDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6112,021367,SABÃO EM PÓ SUAVE 500G MARILUX,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0,0
6113,030634,MASCARA DESC TRIPLA AZ CX/50 INOVEN,0.0,0.0,0.0,12.95,0.0,0.0,0.0,0,0
6114,IK04173R,REVEL MAGENT IKON P/KONICA MINOLTA BIZHUBC224 230G,0.0,0.0,0.0,89.6,0.0,0.0,0.0,0,0
6115,06R01518,CART TONER AMARELO ORIG P/XEROX WORKCENTRE 7830,1.0,2.0,1.0,428.31,428.31,856.62,428.31,9,0
6116,06R01520,CART TONER CIANO ORIG P/XEROX WORKCENTRE 7830,2.0,2.0,0.0,426.85,853.7,853.7,0.0,4,0
6117,06R01519,CART TONER MAGENTA ORIG P/XEROX WORKCENTRE 7830,2.0,2.0,0.0,427.55,855.1,855.1,0.0,10,0
6118,002664,CAMISA POLO MANGA CURTA PUNHO PIQUET PV AZUL G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6119,002665,CAMISA POLO MANGA CURTA PUNHO PIQUET PV AZUL GG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
612,AA043392,CORREIA DO CILINDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6121,5852Z511350,SISTEMA MULTIFUNCIONAL MONOCROMATICA M 320F (120V),1.0,1.0,0.0,2799.0,2799.0,2799.0,0.0,0,0
6122,000921,CHIP P/UNID REVEL BIZHUB C224/C284 KONICA MINOLTA,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0
6123,02256B,REFIL TONER COMPAT KONICA C364 AMARELO PERFORM 1KG,0.0,0.0,0.0,396.0,0.0,0.0,0.0,0,0
6124,02254B,REFIL TONER COMPAT KONICA C364 CIANO PERFORM 1KG,0.0,0.0,0.0,396.0,0.0,0.0,0.0,0,0
6125,02255B,REFIL TONER COMPAT KONICA C364 MAGENTA PERFORM 1KG,2.0,2.0,0.0,396.0,792.0,792.0,0.0,0,0
6127,04865,CHIP DO TONER PRETO GENERICO P/ XEROX PHASER 7800,0.0,0.0,0.0,42.14,0.0,0.0,0.0,0,0
6128,04864,CHIP DO TONER AMARELO GENERICO P/XEROX PHASER 7800,1.0,1.0,0.0,39.81,39.81,39.81,0.0,0,0
6129,04862,CHIP DO TONER CIANO GENERICO P/ XEROX PHASER 7800,1.0,1.0,0.0,42.14,42.14,42.14,0.0,0,0
613,60922210,CORREIA DO REGISTRO P/2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6131,001R00613,LIMPADOR DA CORREIA DE TRANSF. XEROX WC 7830 78XX,1.0,0.0,-1.0,309.62,309.62,0.0,-309.62,3,0
6132,008R13064,ROLO DE TRANSFERÊNCIA ORIG XEROX XC 7830 78XX,1.0,0.0,-1.0,341.88,341.88,0.0,-341.88,3,0
6134,11943007,CHIP TONER RICOH SP3710SF 7K,0.0,0.0,0.0,8.22,0.0,0.0,0.0,0,0
6135,5852Z511345,SISTEMA MULTIFUNCIONAL MONOCROMATICA M 320F (120V),1.0,1.0,0.0,2799.0,2799.0,2799.0,0.0,0,0
6139,011443,PATCH BORDADO 5000 PTS EXECUÇÃO UNICA U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
614,C2004218,CORREIA DO TEMPORIZADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6140,MX1058533A,XEROX WORKCENTRE 7835 USADA E RECONDICIONADA,1.0,1.0,0.0,5513.13,5513.13,5513.13,0.0,0,0
6145,IK04174R,REVEL AM IKON P/KONICA MINOLTA BIZHUB C224 230G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6146,IK04172R,REVEL CIANO IKON P/KONICA MINOLTA BIZHUB C224 230G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6149,RICOH MP 3054,RICOH MP 3054 USADA E RECONDICIONADA,0.0,0.0,0.0,4732.36,0.0,0.0,0.0,0,0
615,54421127,CORREIA DO TEMPORIZADOR P/7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6153,5852Z710460,SISTEMA MULTIFUNCIONAL MONOCROMATICA M 320F (120V),1.0,1.0,0.0,2486.0,2486.0,2486.0,0.0,0,0
6154,5852Z712499,SISTEMA MULTIFUNCIONAL MONOCROMATICA M 320F (120V),1.0,1.0,0.0,2486.0,2486.0,2486.0,0.0,0,0
6155,5852Z710457,SISTEMA MULTIFUNCIONAL MONOCROMATICA M 320F (120V),1.0,1.0,0.0,2486.0,2486.0,2486.0,0.0,0,0
6156,5852Z710452,SISTEMA MULTIFUNCIONAL MONOCROMATICA M 320F (120V),1.0,1.0,0.0,2486.0,2486.0,2486.0,0.0,0,0
6158,101R00554,"KIT DE UNIDADE DE IMAGEM, VERSALINK B400, B405",2.0,1.0,-1.0,614.42,1228.84,614.42,-614.42,19,0
6159,A3VX13H,CART TONER PT ORIG KON MINOLTA BIZHUB PRESS C1060,0.0,0.0,0.0,456.96,0.0,0.0,0.0,0,0
616,60922230,CORREIA EXPULSAO DE PAPEL 2425/30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6160,IK01829,CARTUCHO DE TONER PRETO IKON PARA RICOH MP 4054,3.0,0.0,-3.0,235.91,707.73,0.0,-707.73,5,0
6161,IK01834,CARTUCHO DE TONER PRETO IKON PARA RICOH MP C306,0.0,0.0,0.0,140.37,0.0,0.0,0.0,0,0
6163,70047874,CARTUCHO TONER KATUN PRETO MP2554 3054 3055 3554,0.0,0.0,0.0,235.34,0.0,0.0,0.0,0,0
6165,000233,MOLA HIDRAULICA,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0,0
6166,00940B,ROLO DE PRESSÃO RICOH MP305,1.0,1.0,0.0,192.0,192.0,192.0,0.0,2,0
6167,5852Z712512,SISTEMA MULTIFUNCIONAL MONOCROMATICA M 320F (120V),1.0,1.0,0.0,2486.0,2486.0,2486.0,0.0,0,0
6169,D2052526,SENSOR DE DETECCAO DE PAPEL MP305SP,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0,0
617,C2193606N,CORREIA INF. MASTER-5305(C2193546V),16.0,16.0,0.0,8.58,137.28,137.28,0.0,0,0
6170,106R03585,"TONER CAPACIDADE EXTRA, XEROX VERSALINK B400, B405",16.0,23.0,7.0,204.17,3266.72,4695.91,1429.19,66,1
6171,029392,LIMPA VIDROS 500ML FACILITA,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0,0
6172,020980,GRAMPO GALVANIZADO 26/6 C/5000 FRAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6173,027287,FITA ADESIVA 45X40 TR C/4 RL ADERE 710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6174,032403,ESPONJA MULTIUSO STARLUX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6175,028706,DESINFETANTE PALMOLIVE 5L BEM LIMPIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6178,70806268,TONER P/RICOH SP3710 (7K) CART. LOTUS,0.0,0.0,0.0,61.45,0.0,0.0,0.0,0,0
6179,70806255,TONER P/RICOH MP305 (9K) CART. INTEGRAL,1.0,1.0,0.0,78.98,78.98,78.98,0.0,0,0
618,AA043005,CORREIA INVERSORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6180,014048,SIST IMPRESSAO PB RICOH MP2555SP USADA E RECONDIC,0.0,0.0,0.0,5859.25,0.0,0.0,0.0,0,0
6181,003127,XEROX VERSALINK B405 USADA E RECONDICIONADA,-3.0,0.0,3.0,1490.0,-4470.0,0.0,4470.0,21,4
6182,01928B,UNID CILINDRO COMPATÍVEL P/USO MINOLTA C364 PRETA,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0,0
6183,00789B,ROLETE ALIMENTAÇÃO PAPEL COMPAT P/USO MINOLTA C364,1.0,0.0,-1.0,33.99,33.99,0.0,-33.99,3,0
6185,01217B,ROLETE TRAÇÃO DO PAPEL COMPAT P/USO MINOLTA C364,2.0,1.0,-1.0,33.0,66.0,33.0,-33.0,3,0
6186,02286B,ROLETE DO BYPASS COMPATÍVEL KONICA C364,1.0,1.0,0.0,36.0,36.0,36.0,0.0,0,0
6187,02277B,UNIDADE DE CILINDRO COMPATÍVEL RICOH MPC5504 BK,1.0,1.0,0.0,1549.0,1549.0,1549.0,0.0,4,0
